name,price,description,unit,stock
Indomie Chicken 70g,200,Instant noodles with chicken flavor,Pack,100
Golden Penny Semovita 1kg,800,Premium semolina for smooth swallow,Bag,50
Sprite 50cl,300,Refreshing lemon-lime soft drink,Bottle,200
Peak Milk Evaporated 160g,400,Rich and creamy evaporated milk,Tin,75
Gala Sausage Roll,150,Tasty beef sausage in soft bread,Piece,150
Dano Cool Cow Milk 400g,1200,Full cream instant milk powder,Tin,30
Milo Energy Drink 400g,1500,Chocolate malt energy drink,Tin,40
Maggi Star Cubes 50x4g,250,Chicken flavor seasoning cubes,Pack,80
Titus Sardine 125g,500,Premium sardine in tomato sauce,Tin,60
Honeywell Wheat Flour 1kg,900,All-purpose wheat flour for baking,Bag,45
